country,iso3,region,year,life_expectancy,gdp_per_capita
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1980,59.062,949.011610530352
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1981,59.446,1068.92311090177
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1982,59.859,1095.88472887835
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1983,59.989,959.205194217604
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1984,60.622,757.359025240321
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1985,60.901,649.27581323637
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1986,60.982,692.529276865648
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1987,60.724,726.43141011947
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1988,60.241,815.89246404532
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1989,59.446,840.417972601175
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1990,58.319,866.928868406131
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1991,57.037,830.961354818769
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1992,55.602,631.149149280088
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1993,53.976,604.70311652877
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1994,52.537,634.062003018813
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1995,51.144,648.315259628165
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1996,48.981,766.913775859535
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1997,48.536,750.583100340929
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1998,47.551,552.448328691252
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",1999,46.379,582.299355588147
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2000,46.034,562.833757496076
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2001,44.525,566.388746448872
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2002,45.938,524.936478570323
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2003,45.373,468.471932927213
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2004,46.043,469.719298949304
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2005,46.57,461.271387547912
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2006,47.056,431.034994414964
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2007,47.576,413.521244592925
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2008,48.456,340.917447588572
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2009,49.75,735.821693871697
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2010,51.925,902.010759067388
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2011,53.911,1037.77565157218
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2012,55.386,1239.22709745709
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2013,56.842,1362.99498323368
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2014,58.106,1372.91526173161
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2015,58.989,1387.12632595026
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2016,59.76,1408.13945253431
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2017,60.263,3445.44941020134
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2018,60.906,2270.89531874302
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2019,61.06,2184.32923855469
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2020,61.53,2059.67445384499
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2021,60.135,2613.60542083552
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",2022,62.36,2536.40050223076
